VEHICLE TYPE,YEAR,PLATE NO,VEHICLE NO,ENGINE NO,CHASSIS NO,AREA OFFICE,DEPARTMENT,DIVISION
STRADA PICK UP,2000,RXC 421,,4D56A-K7490,PAEK74TGJYB000956,MAIN OFFICE,TSD,
TAMARAW FX,2002,AEG 631,,2C-3956853,CF50-0039750,CAMILING,CAM,
HI LUX,2008,RGP 491,,2KD-7671430,MROES12G003021561,VICTORIA,VIC,
ELF MANLIFT,2014,AFA 7961,,4BE1-318570,NKR58E-7229064,PANIQUI,PAN,
ISUZU BOOM TRUCK,2015,AOA 8471,,4HK1160557,JALFRR90JD7000121,MAIN OFFICE,TSD,
D MAX,2014,AMA 3311,,4JK1MHS200,PABTFR86HE2000404,PANIQUI,PAN,
HONDA TMX,2004,EP 6382,,KB505047-057356E,KB505-047-057356,CUYAPO,CUY,
HONDA TMX,2006,NI 3302,,KB506051011785E,KB506-051-011785,STA IGNACIA,STI,
D MAX,2014,AMA 3312,,4JK1MH5193,PABTFR86HE2000397,VICTORIA,VIC,
FORD EVEREST,2006,RDR 413,,WLAT632378,MNCLS4D405W115314,MAIN OFFICE,ISD,
ELF MANLIFT,2004,CTY 613,,4D32-842615,FE335B-440736,VICTORIA,VIC,
HONDA TMX,2004,EP 6503,,KB505047-057276E,KB505-047-057276,MONCADA,MON,
BOOM TRUCK,2010,RJN 473,,6HE1-811532,FRR32HB-3006538,MAIN OFFICE,TSD,
ELF MANLIFT,2014,ZTC 423,,4BE1-373550,NKR58E-7238689,STA IGNACIA,STI,
CROSSWIND,2014,AMA 4433,,4JA1M47440,PABTBR54FE2079976,MAIN OFFICE,,
ELF MANLIFT,2015,ABC 8963,,4D32-887677,FE335B-541162,VICTORIA,VIC,
ELF MANLIFT,2004,RBJ 954,,4BE1-387008,NKR58E-7251801,CUYAPO,CUY,
ELF MANLIFT,2004,CTY 624,,4D32-832752,FE335B-440612,MONCADA,MON,
HI LUX,2006,RHN 364,,2KD-7690335,MR0ES12G203022078,MAIN OFFICE,ISD,
CROSSWIND,2014,AMA 4434,,4JA1M48012,PABTBR54FE2080548,MAIN OFFICE,TSD,
ELF TRUCK,2002,CSY 525,,4BE1-164490,NKR58E-7174712,MAIN OFFICE,TSD,
HI LUX,2010,RKH 465,,2KD6505913,MR0CS12G200085965,STA IGNACIA,STI,
HI LUX,2010,RKH 445,,2KD6546283,MR0CS12GX00086927,PANIQUI,PAN,
HI LUX,2010,RKH 455,,2KD6481633,MR0CS12G700086044,MAIN OFFICE,FSD,
D MAX,2014,AMA 3305,,4JK1MHS197,PABTFR86HE2000401,MAIN OFFICE,FSD,
HI LUX,2010,RKH 446,,2KD6529685,MR0CS12G200086890,CAMILING,CAM,
HI LUX,2010,RKH 436,,2KD6547331,MR0CS12G400087037,CUYAPO,CUY,
HI LUX,2010,RKH 476,,2KD654494,MR0CS12G000087052,MAIN OFFICE,ISD,
HI LUX,2010,RKH 466,,2KD6545980,MR0CS12G300086946,MAIN OFFICE,TSD,
INNOVA,2010,RHY 936,,2KD6524964,KUN405037216,MAIN OFFICE,,
ELF MANLIFT,2014,WVQ 196,,4D32-754282,FE335B-523366,CUYAPO,CUY,
D MAX,2014,AMA 3306,,4JK1MH5189,PABTFR86HE2000393,MONCADA,MON,
L-300,2003,CTK 377,,4D56A-N4968,PAEL35NY13B002211,MAIN OFFICE,TSD,
HI LUX,2010,RKH 447,,2KD6529680,MR0CS12G600086987,VICTORIA,VIC,
HI LUX,2010,RKH 427,,2KD6524784,MR0CS126100085973,MONCADA,MON,
MONTERO,2010,RHY 967,,4D56UCBZ5362,MMBGNKH40AF015758,MAIN OFFICE,TSD,
MULTICAB,2011,PCI 327,,F6A6330738,DC51T409135,MAIN OFFICE,,
D MAX,2014,AMA 3307,,4JK1MH5194,PABTFR86HE2000398,MAIN OFFICE,TSD,
ELF MANLIFT,2014,AAO 8217,,4D33-D34441,FE517BN-501175,STA IGNACIA,STI,
ELF MANLIFT,2015,AWA 4687,,4D32-912707,FE335B-460025,MAIN OFFICE,FSD,
ALTEC BOOM,1996,CNM 548,,469GM2U09-67928,TH-306686,MAIN OFFICE,TSD,
TAMARAW FX,1999,WJG 228,,2C-3767631,CF50-0038996,PANIQUI,PAN,
HONDA TMX,2004,EP 6588,,KB505047-057229E,KB505-047-057229,CUYAPO,CUY,
D MAX,0,AMA 3308,,4JK1ME6075,PABTFR86HE2000323,MAIN OFFICE,TSD,
ALTEC TRUCK,1996,CNM 599,,469GM2U0964693,TH306643,MAIN OFFICE,TSD,
ELF MANLIFT,2004,RAA729,,4D32-927902,FE335B-560206,CAMILING,CAM,
L-300,2003,CTK 379,,4D56A-N4378,PAEL35NY13B002052,VICTORIA,VIC,
GRANDIA,2008,RHN 359,,2KD-1869448,JTFRSI3P700014047,MAIN OFFICE,,
D MAX,2014,AMA 3309,,4JK1MH5195,PABTFR86HE2000399,CUYAPO,CUY,
ELF MANLIFT,2015,AWA 4769,,4D32-732047,FE335B-420689,MONCADA,MON,
FORD EVEREST NEW,2016,ACM 9209,,P5AT2161211,MNCAXXMAWAGB61681,MAIN OFFICE,OGM,
HONDA TMX,2004,EP 6590,,KB505047-057167E,KB505-047-057167,PANIQUI,PAN,
ELF MANLIFT,2014,RKK 470,,4D32-824082,FE335B-440564,CAMILING,CAM,
D MAX,2014,AMA 3310,,4JK1MH5201,PABTFR86HE2000405,CUYAPO,CUY,
RUSI,2014,CO 33950,,RF156FMID66031245,RFCPCJXJ3DB031245,CAMILING,CAM,
FORK LIFT,1996,XX,,XX,XX,MAIN OFFICE,,
YAMAHA MIO,0,XX,,XX,XX,MAIN OFFICE,,
NEW GRANDIA,2016,NBN 2090,,1GD0222357,PA2CA8EM0G0014463,MAIN OFFICE,OGM,CPIT
NEW INNOVA,2016,NBN 2095,,1KD2669280,JTFRT13P5G8010104,MAIN OFFICE,FSD,
ISUZU 4X2,2017,NAE8090,,4JK1PU9347,PABTFS86DG2002322,MAIN OFFICE,TSD,
ISUZU 4X4,2017,NAL 2890,,4JK1PR5526,PABTFS86DG2000498,MAIN OFFICE,ISD,
ISUZU 4X4,2017,NAL 2889,,4JK1PR5527,PABTFS86DG2000506,MAIN OFFICE,TSD,
ISUZU 4X4,2017,NAS 5693,,4JK1RA9559,PABTFS86DH2000538,MAIN OFFICE,OGM,
ISUZU 4X4,2017,NAE 8109,,4JK1PN0917,PABTFS86DG2000486,MAIN OFFICE,ISD,
ISUZU 4X4 ,2017,NAE 8077,,4JK1PN09120,PABTFS86DG2000492,MAIN OFFICE,TSD,
NEW BOOM TRUCK,2017,N/A,,4HK1558663,JALFRR90JG7000196,MAIN OFFICE,TSD,
ELF MANLIFT,2018,CAJ 9131,,4D32-584789,FE335B-511628,MAIN OFFICE,OGM,ETO
ELF MANLIFT,2018,CAJ 2461,,4BE1-158385,NKR58E-7172849,STA IGNACIA,STI,
ELF MANLIFT,2018,CAL 4089,,4D32-740499,FE445C-520117,CUYAPO,CUY,
ELF MANLIFT,2018,CAM4826,,4D32-584826,FE335B-511630,VICTORIA,VIC,
ELF MANLIFT,2018,CAL 40008,,4DD32-615192,FE335B-520822,MONCADA,MON,
ELF MANLIFT,2018,CAK4385,,4D33-928960,FE337B-460235,PANIQUI,PAN,
HI LUX PICK UP,2018,CAN 8825,,2GD4551885,MR0KB8CD3J1207110,STA IGNACIA,STI,
HI LUX PICK UP,2018,CAN 8826,,2GD8326284,MR0KB3CCD5J1119613,PANIQUI,PAN,
HI LUX PICK UP,2018,CAN 8827,,2GD8326503,MR0KB8CD3J1119643,VICTORIA,VIC,
HI LUX PICK UP,2018,CAN 8828,,2GD8325022,MR0KB8CD4J1207276,CUYAPO,CUY,
HI LUX PICK UP,2018,CAN 8829,,2GD0528093,MR0KB8CD6J1119264,MONCADA,MON,
HI LUX PICK UP,2018,CAN 8/830,,2GD8325521,MR0KB8CD9J1119601,CAMILING,CAM,
