Code,Name
ABD,ACTIVE BUT DISCONNECTED
DBA,DISCONNECTED BUT ACTIVE
AR,ACTUAL READING
BM,BURN METER
CG,CLOSE GATE
CM,CHANGE METER
DM,DEFECTIVE METER
DMHC,DEFECTIVE METER HIGH CONSUMPTION
DMLC,DEFECTIVE METER LOW CONSUMPTION
DTD,DISCONNECTED
HM,HIGH METER
HMCG,HOUSE METER CLOSE GATE
HTR,HARD TO READ
LM,LOW METER
NB,NOT BELONG
NC,NEW CONNECTION
ND,NO DISPLAY
NO,NO OCCUPANT
NP,NOT PASSABLE
OR,OVER READING
RA 7832,PILFERAGE
RP,ROTTEN POLE
SM,STOP METER
UN,UNSERVED NOTICE
UW,UNDER WATER
VSN,VERIFY SERIAL NUBER
43MING,FOR TRIMMING
