Description,Route,Province,CityCode,Municipality,BarangayCode,Barangay,BookNo
,1205,Tarlac,12,Anao,5,Baguindoc (Baguinloc),1
,1209,Tarlac,12,Anao,9,Bantog,4
,1201,Tarlac,12,Anao,1,Campos,11
,1205,Tarlac,12,Anao,5,Casili,1
,1202,Tarlac,12,Anao,2,Hernando,11
,1201,Tarlac,12,Anao,1,San Francisco,11
,1202,Tarlac,12,Anao,2,San Jose ,11
,1208,Tarlac,12,Anao,8,San Jose ,3
,1202,Tarlac,12,Anao,2,Santo Domingo,11
,1205,Tarlac,12,Anao,5,Sinense,2
,1207,Tarlac,12,Anao,7,Sinense,2
,1209,Tarlac,12,Anao,9,Suaverdez,4
Street Lights,3100,Tarlac,31,Anao,0,Anao Municipal,9
Street Lights,3111,Tarlac,31,Anao,11,Campos ,12
Street Lights,3112,Tarlac,31,Anao,12,Campos ,12
Street Lights,3103,Tarlac,31,Anao,3,Hernando ,12
Street Lights,3108,Tarlac,31,Anao,8,Poblacion ,12
Street Lights,3109,Tarlac,31,Anao,9,Rizal ,12
Street Lights,3110,Tarlac,31,Anao,10,Rizal ,12
Street Lights,3113,Tarlac,31,Anao,13,San Francisco West,12
Street Lights,3102,Tarlac,31,Anao,2,San Jose South ,12
Street Lights,3105,Tarlac,31,Anao,5,San Juan ,12
Street Lights,3106,Tarlac,31,Anao,6,San Roque ,12
Street Lights,3104,Tarlac,31,Anao,4,Sto. Domingo ,12
,633,Tarlac,6,Camiling,33,Anoling 1st,29-A
,661,Tarlac,6,Camiling,61,Anoling 1st,29-B
,633,Tarlac,6,Camiling,33,Anoling 1st,29-A
,634,Tarlac,6,Camiling,34,Anoling 2nd,30
,633,Tarlac,6,Camiling,33,Anoling 2nd,29-A
,634,Tarlac,6,Camiling,34,Anoling 3rd,30
,641,Tarlac,6,Camiling,41,Bacabac,37-A
,662,Tarlac,6,Camiling,62,Bacabac,37-B
,670,Tarlac,6,Camiling,70,Bacsay 1st,60
,647,Tarlac,6,Camiling,47,Bancay 1st,42
,672,Tarlac,6,Camiling,72,Bilad,63
,671,Tarlac,6,Camiling,71,Bilad,62
,646,Tarlac,6,Camiling,46,Birbira,41
,649,Tarlac,6,Camiling,49,Bobon 1st,44
,645,Tarlac,6,Camiling,45,Bobon 2nd,40
,666,Tarlac,6,Camiling,66,Bobon Caarosipan,57
,639,Tarlac,6,Camiling,39,Cabanabaan,35
,644,Tarlac,6,Camiling,44,Cacalibo,34-B
,665,Tarlac,6,Camiling,65,Cacamilingan Norte,56
,659,Tarlac,6,Camiling,59,Cacamilingan Norte,16-B
,615,Tarlac,6,Camiling,15,Cacamilingan Norte,14
,617,Tarlac,6,Camiling,17,Cacamilingan Norte,16-A
,625,Tarlac,6,Camiling,25,Cacamilingan Sur,22
,615,Tarlac,6,Camiling,15,Cacamilingan Sur,14
,615,Tarlac,6,Camiling,15,Cacamilingan East,14
,640,Tarlac,6,Camiling,40,Caniag,36
,640,Tarlac,6,Camiling,40,Carael,36
,660,Tarlac,6,Camiling,60,Cayaoan,10-B
,611,Tarlac,6,Camiling,11,Cayaoan,10-A
,658,Tarlac,6,Camiling,58,Cayasan,53
,656,Tarlac,6,Camiling,56,Florida,51
,656,Tarlac,6,Camiling,56,Lasong,51
