DocForm	ColID	DocType	Name	AliasName	Field	ShowColumn	Width
DocForm	ColID	DocType	Name	AliasName	Field	ShowColumn	Width
DOC	DocNum	I	DocNum	DocNum	DocNum	N	100
DOC	LineNum	I	LineNum	LineNum	LineNum	N	100
DOC	VisNum	I	VisNum	VisNum	VisNum	N	100
DOC	LineType	I	LineType	LineType	LineType	N	100
DOC	Text	I	Text	Text	Text	N	100
DOC	ObjType	I	ObjType	ObjType	ObjType	N	100
DOC	BaseEntry	I	BaseEntry	BaseEntry	BaseEntry	N	100
DOC	BaseType	I	BaseType	BaseType	BaseType	N	100
DOC	BaselLine	I	BaselLine	BaselLine	BaselLine	N	100
DOC	BaseDocNum	I	BaseDocNum	BaseDocNum	BaseDocNum	N	100
DOC	BaseDocRef	I	BaseDocRef	BaseDocRef	BaseDocRef	N	100
DOC	TargetEntry	I	TargetEntry	TargetEntry	TargetEntry	N	100
DOC	LineStatus	I	LineStatus	LineStatus	LineStatus	N	100
DOC	TargetType	I	TargetType	TargetType	TargetType	N	100
DOC	TargetLine	I	TargetLine	TargetLine	TargetLine	N	100
DOC	TargetDocRef	I	TargetDocRef	TargetDocRef	TargetDocRef	N	100
DOC	Currency	I	Currency	Currency	Currency	N	100
DOC	CardCode	I	CardCode	CardCode	CardCode	N	100
DOC	CardName	I	CardName	CardName	CardName	N	100
DOC	DocDate	I	DocDate	DocDate	DocDate	N	100
DOC	ItemCode	I	ItemCode	ItemCode	ItemCode	N	100
DOC	Dscription	I	Dscription	Dscription	Dscription	N	100
DOC	Dscription2	I	Dscription2	Dscription2	Dscription2	N	100
DOC	WhsCode	I	WhsCode	WhsCode	WhsCode	N	100
DOC	Quantity	I	Quantity	Quantity	Quantity	N	100
DOC	OpenQty	I	OpenQty	OpenQty	OpenQty	N	100
DOC	QtyPerPacUOM	I	QtyPerPacUOM	QtyPerPacUOM	QtyPerPacUOM	N	100
DOC	BaseQty	I	BaseQty	BaseQty	BaseQty	N	100
DOC	BaseOpenQty	I	BaseOpenQty	BaseOpenQty	BaseOpenQty	N	100
DOC	QtyToShip	I	QtyToShip	QtyToShip	QtyToShip	N	100
DOC	DeliveredQty	I	DeliveredQty	DeliveredQty	DeliveredQty	N	100
DOC	OrderedQty	I	OrderedQty	OrderedQty	OrderedQty	N	100
DOC	NumPerMsr	I	NumPerMsr	NumPerMsr	NumPerMsr	N	100
DOC	ShipDate	I	ShipDate	ShipDate	ShipDate	N	100
DOC	ShipToCode	I	ShipToCode	ShipToCode	ShipToCode	N	100
