DocFormGridColID	DocForm	ColID	DocType	Name	AliasName	Field	LineNum	VisNum	ShowColumn	Width	CreatedByAppUserId	CreatedOn
DocFormGridColID	DocForm	ColID	DocType	Name	AliasName	Field	LineNum	VisNum	ShowColumn	Width	CreatedByAppUserId	CreatedOn
	DOC	I_DocNum	I	DocNum	DocNum	DocNum	1	1	N	100	1	1/1/2001
	DOC	I_LineNum	I	LineNum	#	LineNum	2	2	Y	20	1	1/1/2001
	DOC	I_VisNum	I	VisNum	VISNUM	VisNum	3	3	N	100	1	1/1/2001
	DOC	I_LineType	I	LineType	LINETYPE	LineType	4	4	N	100	1	1/1/2001
	DOC	I_Text	I	Text	TEXT	Text	5	5	N	100	1	1/1/2001
	DOC	I_ObjType	I	ObjType	OBJTYPE	ObjType	6	6	N	100	1	1/1/2001
	DOC	I_BaseEntry	I	BaseEntry	BASEENTRY	BaseEntry	7	7	N	100	1	1/1/2001
	DOC	I_BaseType	I	BaseType	BASETYPE	BaseType	8	8	N	100	1	1/1/2001
	DOC	I_BaseLine	I	BaseLine	BASELINE	BaseLine	9	9	N	100	1	1/1/2001
	DOC	I_BaseDocNum	I	BaseDocNum	BASEDOCNUM	BaseDocNum	10	10	N	100	1	1/1/2001
	DOC	I_BaseDocRef	I	BaseDocRef	BASEDOCREF	BaseDocRef	11	11	N	100	1	1/1/2001
	DOC	I_TargetEntry	I	TargetEntry	TARGETENTRY	TargetEntry	12	12	N	100	1	1/1/2001
	DOC	I_LineStatus	I	LineStatus	LINESTATUS	LineStatus	13	13	N	100	1	1/1/2001
	DOC	I_TargetType	I	TargetType	TARGETTYPE	TargetType	14	14	N	100	1	1/1/2001
	DOC	I_TargetLine	I	TargetLine	TARGETLINE	TargetLine	15	15	N	100	1	1/1/2001
	DOC	I_TargetDocRef	I	TargetDocRef	TARGETDOCREF	TargetDocRef	16	16	N	100	1	1/1/2001
	DOC	I_Currency	I	Currency	CURRENCY	Currency	17	17	N	100	1	1/1/2001
	DOC	I_CardCode	I	CardCode	CARDCODE	CardCode	18	18	N	100	1	1/1/2001
	DOC	I_CardName	I	CardName	CARDNAME	CardName	19	19	N	100	1	1/1/2001
	DOC	I_DocDate	I	DocDate	DOCDATE	DocDate	20	20	N	100	1	1/1/2001
	DOC	I_ItemCode	I	ItemCode	ITEM CODE	ItemCode	21	21	Y	100	1	1/1/2001
	DOC	I_Dscription	I	Dscription	ITEM NAME	Dscription	22	22	Y	100	1	1/1/2001
	DOC	I_Dscription2	I	Dscription2	DSCRIPTION2	Dscription2	23	23	N	100	1	1/1/2001
	DOC	I_WhsCode	I	WhsCode	WHSCODE	WhsCode	24	24	Y	100	1	1/1/2001
	DOC	I_Quantity	I	Quantity	QUANTITY	Quantity	25	25	Y	100	1	1/1/2001
	DOC	I_OpenQty	I	OpenQty	OPENQTY	OpenQty	26	26	N	100	1	1/1/2001
	DOC	I_QtyPerPacUOM	I	QtyPerPacUOM	QTYPERPACUOM	QtyPerPacUOM	27	27	N	100	1	1/1/2001
	DOC	I_BaseQty	I	BaseQty	BASEQTY	BaseQty	28	28	N	100	1	1/1/2001
	DOC	I_BaseOpenQty	I	BaseOpenQty	BASEOPENQTY	BaseOpenQty	29	29	N	100	1	1/1/2001
	DOC	I_QtyToShip	I	QtyToShip	QTYTOSHIP	QtyToShip	30	30	N	100	1	1/1/2001
	DOC	I_DeliveredQty	I	DeliveredQty	DELIVEREDQTY	DeliveredQty	31	31	N	100	1	1/1/2001
	DOC	I_OrderedQty	I	OrderedQty	ORDEREDQTY	OrderedQty	32	32	N	100	1	1/1/2001
	DOC	I_NumPerMsr	I	NumPerMsr	QTY/UOM	NumPerMsr	33	33	N	100	1	1/1/2001
	DOC	I_ShipDate	I	ShipDate	SHIPDATE	ShipDate	34	34	N	100	1	1/1/2001
	DOC	I_ShipToCode	I	ShipToCode	SHIPTOCODE	ShipToCode	35	35	N	100	1	1/1/2001
	DOC	I_ShipToDesc	I	ShipToDesc	SHIPTODESC	ShipToDesc	36	36	N	100	1	1/1/2001
	DOC	I_UOM	I	UOM	UOM	UOM	37	37	Y	100	1	1/1/2001
	DOC	I_TotalInvntryQty	I	TotalInvntryQty	TOTALINVNTRYQTY	TotalInvntryQty	38	38	N	100	1	1/1/2001
	DOC	I_StockPrice	I	StockPrice	STOCKPRICE	StockPrice	39	39	N	100	1	1/1/2001
	DOC	I_StockValue	I	StockValue	STOCKVALUE	StockValue	40	40	N	100	1	1/1/2001
	DOC	I_INMPRice	I	INMPRice	INMPRICE	INMPRice	41	41	N	100	1	1/1/2001
	DOC	I_PickQty	I	PickQty	PICKQTY	PickQty	42	42	N	100	1	1/1/2001
	DOC	I_PickStatus	I	PickStatus	PICKSTATUS	PickStatus	43	43	N	100	1	1/1/2001
	DOC	I_InvntryUOM	I	InvntryUOM	INVNTRYUOM	InvntryUOM	44	44	N	100	1	1/1/2001
	DOC	I_ItemCost	I	ItemCost	ITEMCOST	ItemCost	45	45	N	100	1	1/1/2001
	DOC	I_Price	I	Price	PRICE	Price	46	46	Y	100	1	1/1/2001
	DOC	I_PriceAfVat	I	PriceAfVat	PRICEAFVAT	PriceAfVat	47	47	N	100	1	1/1/2001
	DOC	I_Discount	I	Discount	DISCOUNT	Discount	48	48	Y	100	1	1/1/2001
	DOC	I_DiscountAmt	I	DiscountAmt	DISCOUNTAMT	DiscountAmt	49	49	N	100	1	1/1/2001
	DOC	I_Discount2	I	Discount2	DISCOUNT2	Discount2	50	50	N	100	1	1/1/2001
	DOC	I_DiscountAmt2	I	DiscountAmt2	DISCOUNTAMT2	DiscountAmt2	51	51	N	100	1	1/1/2001
	DOC	I_Discount3	I	Discount3	DISCOUNT3	Discount3	52	52	N	100	1	1/1/2001
	DOC	I_DiscountAmt3	I	DiscountAmt3	DISCOUNTAMT3	DiscountAmt3	53	53	N	100	1	1/1/2001
	DOC	I_Discount4	I	Discount4	DISCOUNT4	Discount4	54	54	N	100	1	1/1/2001
	DOC	I_DiscountAmt4	I	DiscountAmt4	DISCOUNTAMT4	DiscountAmt4	55	55	N	100	1	1/1/2001
	DOC	I_Discount5	I	Discount5	DISCOUNT5	Discount5	56	56	N	100	1	1/1/2001
	DOC	I_DiscountAmt5	I	DiscountAmt5	DISCOUNTAMT5	DiscountAmt5	57	57	N	100	1	1/1/2001
	DOC	I_PriceBeforeDscnt	I	PriceBeforeDscnt	PRICEBEFOREDSCNT	PriceBeforeDscnt	58	58	N	100	1	1/1/2001
	DOC	I_VatGroup	I	VatGroup	VATGROUP	VatGroup	59	59	Y	100	1	1/1/2001
	DOC	I_VatPercent	I	VatPercent	VATPERCENT	VatPercent	60	60	N	100	1	1/1/2001
	DOC	I_VatSum	I	VatSum	VATSUM	VatSum	61	61	N	100	1	1/1/2001
	DOC	I_VatSumSys	I	VatSumSys	VATSUMSYS	VatSumSys	62	62	N	100	1	1/1/2001
	DOC	I_VatSumFC	I	VatSumFC	VATSUMFC	VatSumFC	63	63	N	100	1	1/1/2001
	DOC	I_FinacialPeriodID	I	FinacialPeriodID	FINACIALPERIODID	FinacialPeriodID	64	64	N	100	1	1/1/2001
	DOC	I_AcctCode	I	AcctCode	G/L ACCOUNT	AcctCode	65	65	Y	100	1	1/1/2001
	DOC	I_AcctName	I	AcctName	G/L ACCOUNT NAME	AcctName	65	65	Y	150	1	1/1/2001
	DOC	I_COGSAcct	I	COGSAcct	COGSACCT	COGSAcct	66	66	Y	100	1	1/1/2001
	DOC	I_LineTotal	I	LineTotal	LINETOTAL	LineTotal	67	67	Y	100	1	1/1/2001
	DOC	I_LineTotalFC	I	LineTotalFC	LINETOTALFC	LineTotalFC	68	68	N	100	1	1/1/2001
	DOC	I_LineTotalSC	I	LineTotalSC	LINETOTALSC	LineTotalSC	69	69	N	100	1	1/1/2001
	DOC	I_LineVatSum	I	LineVatSum	LINEVATSUM	LineVatSum	70	70	N	100	1	1/1/2001
	DOC	I_LinVatSys	I	LinVatSys	LINVATSYS	LinVatSys	71	71	N	100	1	1/1/2001
	DOC	I_LineVatFC	I	LineVatFC	LINEVATFC	LineVatFC	72	72	N	100	1	1/1/2001
	DOC	I_OpenSum	I	OpenSum	OPENSUM	OpenSum	73	73	N	100	1	1/1/2001
	DOC	I_OpenSumFC	I	OpenSumFC	OPENSUMFC	OpenSumFC	74	74	N	100	1	1/1/2001
	DOC	I_Factor1	I	Factor1	FACTOR1	Factor1	75	75	N	100	1	1/1/2001
	DOC	I_Factor2	I	Factor2	FACTOR2	Factor2	76	76	N	100	1	1/1/2001
	DOC	I_Factor3	I	Factor3	FACTOR3	Factor3	77	77	N	100	1	1/1/2001
	DOC	I_Factor4	I	Factor4	FACTOR4	Factor4	78	78	N	100	1	1/1/2001
	DOC	I_Length1	I	Length1	LENGTH1	Length1	79	79	N	100	1	1/1/2001
	DOC	I_Len1Unit	I	Len1Unit	LEN1UNIT	Len1Unit	80	80	N	100	1	1/1/2001
