DocFormGridColID	DocForm	ColID	DocType	Name	AliasName	Field	LineNum	VisNum	ShowColumn	HeaderCssClass	Editor	DataType	FieldCssClass	Width	ObjectType	CreatedByAppUserId	CreatedOn
DocFormGridColID	DocForm	ColID	DocType	Name	AliasName	Field	LineNum	VisNum	ShowColumn	HeaderCssClass	Editor	DataType	FieldCssClass	Width	ObjectType	CreatedByAppUserId	CreatedOn
	DOC	I_DocNum	I	DocNum	DocNum	DocNum	1	1	N	text-center				100		1	01/01/2001
	DOC	I_LineNum	I	LineNum	#	LineNum	2	2	Y	text-center			text-center	20		1	01/01/2001
	DOC	I_ItemCode	I	ItemCode	ITEM CODE	ItemCode	3	3	Y	text-center	LinkTextBoxEditor			100		1	01/01/2001
	DOC	I_Dscription	I	Dscription	ITEM NAME	Dscription	4	4	Y	text-left			text-left readonly-field	200		1	01/01/2001
	DOC	I_WhsCode	I	WhsCode	WAREHOUSE	WhsCode	5	5	Y	text-center	LinkTextBoxEditor			200		1	01/01/2001
	DOC	I_PriceList	I	PriceList	PRICE LIST	PriceList	6	6	N	text-center	SelectListEditor			150	PRL	1	01/01/2001
	DOC	I_Quantity	I	Quantity	QUANTITY	Quantity	7	7	Y	text-center	SlickEditorsText	int	text-right	100		1	01/01/2001
	DOC	I_Price	I	Price	UNIT PRICE	Price	8	8	Y	text-center	SlickEditorsText	float	text-right	100		1	01/01/2001
	DOC	I_UOM	I	UOM	UOM	UOM	9	9	Y	text-center	SelectListEditor			150	UOM	1	01/01/2001
	DOC	I_Discount	I	Discount	DISCOUNT %	Discount	10	10	Y	text-center	SlickEditorsText	float	text-right	100		1	01/01/2001
	DOC	I_VatGroup	I	VatGroup	TAX CODE	VatGroup	11	11	Y	text-center	SelectListEditor		text-center	150	VTG	1	01/01/2001
	DOC	I_WtLiable	I	WtLiable	WTAX LIABLE	WtLiable	13	13	Y	text-center	SelectListEditor		text-center	100	WHT	1	01/01/2001
	DOC	I_PriceAfTax	I	PriceAfTax	PRICE AFTAX	PriceAfTax	14	14	N	text-center	SlickEditorsText		text-right	100		1	01/01/2001
	DOC	I_LineTotal	I	LineTotal	LINE TOTAL	LineTotal	15	15	Y	text-center			text-right readonly-field	100		1	01/01/2001
	DOC	I_GTotal	I	GTotal	GROSS TOTAL	GTotal	16	16	Y	text-center			text-right readonly-field	100		1	01/01/2001
	DOC	I_AcctCode	I	AcctCode	G/L ACCOUNT	AcctCode	17	17	Y	text-center	LinkTextBoxEditor			100		1	01/01/2001
	DOC	I_AcctName	I	AcctName	G/L ACCOUNT NAME	AcctName	18	18	N	text-left				150		1	01/01/2001
	DOC	I_VisNum	I	VisNum	VISNUM	VisNum	19	19	N	text-center				100		1	01/01/2001
	DOC	I_LineType	I	LineType	LINETYPE	LineType	20	20	N	text-center				100		1	01/01/2001
	DOC	I_Text	I	Text	TEXT	Text	21	21	N	text-center				100		1	01/01/2001
	DOC	I_ObjType	I	ObjType	OBJTYPE	ObjType	22	22	N	text-center				100		1	01/01/2001
	DOC	I_BaseEntry	I	BaseEntry	BASEENTRY	BaseEntry	23	23	N	text-center				100		1	01/01/2001
	DOC	I_BaseType	I	BaseType	BASETYPE	BaseType	24	24	N	text-center				100		1	01/01/2001
